455	State's Attorney Felony Cases - Initiation Results by Offense Type and Location Type	https://datacatalog.cookcountyil.gov/api/views/csm4-6i6i/rows.rdf?accessType=DOWNLOAD	Data.gov
461	City Of Seattle Neighborhood Matching Funds	https://data.seattle.gov/api/views/pr2n-4pn6/rows.rdf?accessType=DOWNLOAD	Data.gov
780	Bills That Passed 2013 Legislature	https://data.hawaii.gov/api/views/pkba-543m/rows.rdf?accessType=DOWNLOAD	Data.gov
1654	CDC STATE System E-Cigarette Legislation - Licensure	https://data.cdc.gov/api/views/ne52-uraz/rows.rdf?accessType=DOWNLOAD	Data.gov
1748	DMV-Reportable Traffic Ticket Convictions: Four Year Window Data	https://data.ny.gov/api/views/yqfe-cnwu/rows.rdf?accessType=DOWNLOAD	Data.gov
1805	Aquatic Pesticide and Algae Management Draft General Permit Comments	https://data.wa.gov/api/views/ysrq-tssh/rows.rdf?accessType=DOWNLOAD	Data.gov
1950	FOIA Request Log - Zoning and Land Use Planning - Historical	https://data.cityofchicago.org/api/views/2nra-kpzu/rows.rdf?accessType=DOWNLOAD	Data.gov
2095	Consumer Airfare Report: Table 1a - All U.S. Airport Pair Markets	https://data.transportation.gov/api/views/tfrh-tu9e/rows.rdf?accessType=DOWNLOAD	Data.gov
2393	Social Services Contractor Budgets	https://data.austintexas.gov/api/views/7r7e-cc8k/rows.rdf?accessType=DOWNLOAD	Data.gov
3947	Current Employee Names, Salaries, and Position Titles	https://data.cityofchicago.org/api/views/xzkq-xp2w/rows.rdf?accessType=DOWNLOAD	Data.gov
4607	Facilities Management - Natural Gas Usage - 2006 through part of 2011	https://datacatalog.cookcountyil.gov/api/views/t388-3s4n/rows.rdf?accessType=DOWNLOAD	Data.gov
4763	State's Attorney Felony Cases - Sentences By Offense Type and Location Type	https://datacatalog.cookcountyil.gov/api/views/uf6g-sr2x/rows.rdf?accessType=DOWNLOAD	Data.gov
5336	Total Number of High School Seniors in Missouri	https://data.mo.gov/api/views/8yaf-xv66/rows.rdf?accessType=DOWNLOAD	Data.gov
5447	Completed Percent for Art projects with artist information	https://data.cityofnewyork.us/api/views/gzdv-qiga/rows.rdf?accessType=DOWNLOAD	Data.gov
6347	Occupational Employment Statistics	https://data.ny.gov/api/views/gkgz-nw24/rows.rdf?accessType=DOWNLOAD	Data.gov
