2108	461	logical piece pop culture entertainment
2915	1748	content
3180	461	person location organization feature
3402	461	relationships between people
3616	4763	chicago
3618	455	chicago
3782	461	anchorage alaska 5 years april 2009 weekly
3977	1654	name business type lat long
4288	461	shoots goals position
5263	461	friendship interest feeling places
5287	461	comments friendship interest feeling places liked pages published photos videos posts
5297	461	comments comments comment likes friendship interest feeling places liked pages published photos videos posts
5317	461	comments comments comment likes friendship interest feeling places liked pages published photos videos posts hashtags
6006	461	massachusetts addresses coordinates
7587	4763	sentences
8228	461	final years high school first years university
8656	1805	34 years old number
8871	4607	2008 month
9342	4607	january 2011
9533	3947	dn12 hourly
9628	5447	council
9684	461	nottingham monday march 30th
9702	461	nottingham sunday 29th march
9737	1950	nottingham march thirtieth
9742	461	nottingham monday 30th march till present
9752	461	nottingham march 30th till date
9754	1950	nottingham march 30th till date
9761	1950	nottingham march 30th
9820	2095	tw area april 1989 april 1993
9880	780	twenty year age
10261	461	small area
10496	461	parrett catchment autumn 2013 spring 2014 daily discharge stations
10522	461	river ribble april 25th may 13th 2015
10532	461	locks weir 25th april 2015 13th may 2015
11350	1748	licensed unlicensed vehicles
11357	780	licensed unlicensed vehicles
11463	461	five april two thousand seven september two thousand eight west street glasgow
11479	461	west street glassgow april september inches
11726	6347	area
12079	5336	2015 2015
12164	6347	wage
12439	461	monthly speeds kansas 3003 2004
13046	2393	texas bank
13065	1654	mississippi money
13115	1654	money mississippi
